"Code";"Name";"Location";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"total";"1995";207081;"-";"M";
0000000;"POLAND";"total";"1996";203641;"-";"";
0000000;"POLAND";"total";"1997";204850;"-";"";
0000000;"POLAND";"total";"1998";209430;"-";"";
0000000;"POLAND";"total";"1999";219398;"-";"";
0000000;"POLAND";"total";"2000";211150;"-";"";
0000000;"POLAND";"total";"2001";195122;"-";"";
0000000;"POLAND";"total";"2002";191935;"-";"";
0000000;"POLAND";"total";"2003";195446;"-";"";
0000000;"POLAND";"total";"2004";191824;"-";"";
0000000;"POLAND";"total";"2005";206916;"-";"";
0000000;"POLAND";"total";"2006";226181;"-";"";
0000000;"POLAND";"total";"2007";248702;"-";"";
0000000;"POLAND";"total";"2008";257744;"-";"";
0000000;"POLAND";"total";"2009";250794;"-";"";
0000000;"POLAND";"total";"2010";228337;"-";"";
0000000;"POLAND";"total";"2011";206471;"-";"";
0000000;"POLAND";"total";"2012";203850;"-";"";
0000000;"POLAND";"total";"2013";180396;"-";"";
0000000;"POLAND";"total";"2014";188488;"-";"";
0000000;"POLAND";"total";"2015";188832;"-";"";
0000000;"POLAND";"total";"2016";193455;"-";"";
0000000;"POLAND";"total";"2017";192576;"-";"";
0000000;"POLAND";"total";"2018";192443;"-";"";
0000000;"POLAND";"total";"2019";183371;"-";"";
0000000;"POLAND";"total";"2020";145045;"-";"";
0000000;"POLAND";"total";"2021";168324;"-";"";
0000000;"POLAND";"total";"2022";155817;"-";"";
0000000;"POLAND";"total";"2023";145898;"-";"";
